Title,Release Date,Run Time,MPAA Film Rating,Rating,Genres,Webpage
The Dark Knight,2008,2h 32m,PG-13,9.0,"['Action Epic', 'Epic', 'Superhero', 'Tragedy', 'Action', 'Crime', 'Drama', 'Thriller']",https://www.imdb.com/title/tt0468569/?ref_=chtmvm_i_87
Moana 2,2024,1h 40m,PG,6.6,"['Computer Animation', 'Sea Adventure', 'Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Musical']",https://www.imdb.com/title/tt13622970/?ref_=chtmvm_i_88
Rogue One: A Star Wars Story,2016,2h 13m,PG-13,7.8,"['Action Epic', 'Adventure Epic', 'Sci-Fi Epic', 'Space Sci-Fi', 'Tragedy', 'Action', 'Adventure', 'Sci-Fi']",https://www.imdb.com/title/tt3748528/?ref_=chtmvm_i_89
The Ugly Stepsister,2025,1h 49m,,7.3,"['Body Horror', 'Psychological Horror', 'Satire', 'Slasher Horror', 'Comedy', 'Drama', 'Horror']",https://www.imdb.com/title/tt29344903/?ref_=chtmvm_i_90
Deadpool & Wolverine,2024,2h 8m,R,7.6,"['Buddy Comedy', 'Dark Comedy', 'Raunchy Comedy', 'Superhero', 'Action', 'Adventure', 'Comedy', 'Sci-Fi']",https://www.imdb.com/title/tt6263850/?ref_=chtmvm_i_91
Predator: Killer of Killers,2025,1h 30m,,,"['Action', 'Adventure', 'Animation', 'Sci-Fi', 'Thriller']",https://www.imdb.com/title/tt36463894/?ref_=chtmvm_i_92
Lolita,1997,2h 17m,R,6.8,"['Dark Comedy', 'Dark Romance', 'Tragedy', 'Drama', 'Romance']",https://www.imdb.com/title/tt0119558/?ref_=chtmvm_i_93
Love,2015,2h 15m,TV-MA,6.1,"['Steamy Romance', 'Drama', 'Romance']",https://www.imdb.com/title/tt3774694/?ref_=chtmvm_i_94
Sonic the Hedgehog 3,2024,1h 50m,PG,6.9,"['Animal Adventure', 'Fantasy Epic', 'Globetrotting Adventure', 'Superhero', 'Supernatural Fantasy', 'Action', 'Adventure', 'Comedy', 'Family', 'Fantasy']",https://www.imdb.com/title/tt18259086/?ref_=chtmvm_i_95
Death of a Unicorn,2025,1h 47m,R,6.0,"['Dark Comedy', 'Dark Fantasy', 'Monster Horror', 'Comedy', 'Fantasy', 'Horror', 'Thriller']",https://www.imdb.com/title/tt28443655/?ref_=chtmvm_i_96
In the Lost Lands,2025,1h 41m,R,4.7,"['Dark Fantasy', 'Supernatural Fantasy', 'Survival', 'Action', 'Adventure', 'Fantasy']",https://www.imdb.com/title/tt4419684/?ref_=chtmvm_i_97
Scorned,1993,1h 40m,R,5.2,"['Erotic Thriller', 'Drama', 'Thriller']",https://www.imdb.com/title/tt0111093/?ref_=chtmvm_i_98
Winter Spring Summer or Fall,2024,1h 37m,R,6.1,"['Coming-of-Age', 'Drama', 'Romance']",https://www.imdb.com/title/tt24515124/?ref_=chtmvm_i_99
Alien: Romulus,2024,1h 59m,R,7.1,"['Monster Horror', 'Space Sci-Fi', 'Horror', 'Sci-Fi', 'Thriller']",https://www.imdb.com/title/tt18412256/?ref_=chtmvm_i_100
