Title,Release Date,Run Time,MPAA Film Rating,Rating,Genres,Webpage
Thunderbolts*,2025,2h 6m,PG-13,7.7,Superhero,https://www.imdb.com/title/tt20969586/?ref_=chtmvm_i_9
Thunderbolts*,2025,2h 6m,PG-13,7.7,Action,https://www.imdb.com/title/tt20969586/?ref_=chtmvm_i_9
Thunderbolts*,2025,2h 6m,PG-13,7.7,Adventure,https://www.imdb.com/title/tt20969586/?ref_=chtmvm_i_9
Thunderbolts*,2025,2h 6m,PG-13,7.7,Crime,https://www.imdb.com/title/tt20969586/?ref_=chtmvm_i_9
Thunderbolts*,2025,2h 6m,PG-13,7.7,Drama,https://www.imdb.com/title/tt20969586/?ref_=chtmvm_i_9
Thunderbolts*,2025,2h 6m,PG-13,7.7,Fantasy,https://www.imdb.com/title/tt20969586/?ref_=chtmvm_i_9
Thunderbolts*,2025,2h 6m,PG-13,7.7,Sci-Fi,https://www.imdb.com/title/tt20969586/?ref_=chtmvm_i_9
Until Dawn,2025,1h 43m,R,6.0,Psychological Drama,https://www.imdb.com/title/tt30955489/?ref_=chtmvm_i_10
Until Dawn,2025,1h 43m,R,6.0,Psychological Horror,https://www.imdb.com/title/tt30955489/?ref_=chtmvm_i_10
Until Dawn,2025,1h 43m,R,6.0,Slasher Horror,https://www.imdb.com/title/tt30955489/?ref_=chtmvm_i_10
Until Dawn,2025,1h 43m,R,6.0,Splatter Horror,https://www.imdb.com/title/tt30955489/?ref_=chtmvm_i_10
Until Dawn,2025,1h 43m,R,6.0,Supernatural Horror,https://www.imdb.com/title/tt30955489/?ref_=chtmvm_i_10
Until Dawn,2025,1h 43m,R,6.0,Zombie Horror,https://www.imdb.com/title/tt30955489/?ref_=chtmvm_i_10
Until Dawn,2025,1h 43m,R,6.0,Drama,https://www.imdb.com/title/tt30955489/?ref_=chtmvm_i_10
Until Dawn,2025,1h 43m,R,6.0,Horror,https://www.imdb.com/title/tt30955489/?ref_=chtmvm_i_10
Companion,2025,1h 37m,R,6.9,Artificial Intelligence,https://www.imdb.com/title/tt26584495/?ref_=chtmvm_i_11
Companion,2025,1h 37m,R,6.9,Dark Comedy,https://www.imdb.com/title/tt26584495/?ref_=chtmvm_i_11
Companion,2025,1h 37m,R,6.9,Psychological Thriller,https://www.imdb.com/title/tt26584495/?ref_=chtmvm_i_11
Companion,2025,1h 37m,R,6.9,Sci-Fi,https://www.imdb.com/title/tt26584495/?ref_=chtmvm_i_11
Companion,2025,1h 37m,R,6.9,Thriller,https://www.imdb.com/title/tt26584495/?ref_=chtmvm_i_11
Ash,2025,1h 35m,R,4.7,Alien Invasion,https://www.imdb.com/title/tt17489650/?ref_=chtmvm_i_12
Ash,2025,1h 35m,R,4.7,Monster Horror,https://www.imdb.com/title/tt17489650/?ref_=chtmvm_i_12
Ash,2025,1h 35m,R,4.7,Psychological Horror,https://www.imdb.com/title/tt17489650/?ref_=chtmvm_i_12
Ash,2025,1h 35m,R,4.7,Psychological Thriller,https://www.imdb.com/title/tt17489650/?ref_=chtmvm_i_12
Ash,2025,1h 35m,R,4.7,Space Sci-Fi,https://www.imdb.com/title/tt17489650/?ref_=chtmvm_i_12
Ash,2025,1h 35m,R,4.7,Survival,https://www.imdb.com/title/tt17489650/?ref_=chtmvm_i_12
Ash,2025,1h 35m,R,4.7,Horror,https://www.imdb.com/title/tt17489650/?ref_=chtmvm_i_12
Ash,2025,1h 35m,R,4.7,Sci-Fi,https://www.imdb.com/title/tt17489650/?ref_=chtmvm_i_12
Ash,2025,1h 35m,R,4.7,Thriller,https://www.imdb.com/title/tt17489650/?ref_=chtmvm_i_12
The Fantastic Four: First Steps,2025,,,,Space Sci-Fi,https://www.imdb.com/title/tt10676052/?ref_=chtmvm_i_13
The Fantastic Four: First Steps,2025,,,,Superhero,https://www.imdb.com/title/tt10676052/?ref_=chtmvm_i_13
The Fantastic Four: First Steps,2025,,,,Action,https://www.imdb.com/title/tt10676052/?ref_=chtmvm_i_13
The Fantastic Four: First Steps,2025,,,,Adventure,https://www.imdb.com/title/tt10676052/?ref_=chtmvm_i_13
The Fantastic Four: First Steps,2025,,,,Sci-Fi,https://www.imdb.com/title/tt10676052/?ref_=chtmvm_i_13
iHostage,2025,1h 40m,TV-MA,5.7,Crime,https://www.imdb.com/title/tt31181421/?ref_=chtmvm_i_14
iHostage,2025,1h 40m,TV-MA,5.7,Drama,https://www.imdb.com/title/tt31181421/?ref_=chtmvm_i_14
iHostage,2025,1h 40m,TV-MA,5.7,Thriller,https://www.imdb.com/title/tt31181421/?ref_=chtmvm_i_14
The Amateur,2025,2h 2m,PG-13,6.7,Spy,https://www.imdb.com/title/tt0899043/?ref_=chtmvm_i_15
The Amateur,2025,2h 2m,PG-13,6.7,Action,https://www.imdb.com/title/tt0899043/?ref_=chtmvm_i_15
The Amateur,2025,2h 2m,PG-13,6.7,Thriller,https://www.imdb.com/title/tt0899043/?ref_=chtmvm_i_15
The Accountant,2016,2h 8m,R,7.3,Conspiracy Thriller,https://www.imdb.com/title/tt2140479/?ref_=chtmvm_i_16
The Accountant,2016,2h 8m,R,7.3,Martial Arts,https://www.imdb.com/title/tt2140479/?ref_=chtmvm_i_16
The Accountant,2016,2h 8m,R,7.3,One-Person Army Action,https://www.imdb.com/title/tt2140479/?ref_=chtmvm_i_16
The Accountant,2016,2h 8m,R,7.3,Action,https://www.imdb.com/title/tt2140479/?ref_=chtmvm_i_16
The Accountant,2016,2h 8m,R,7.3,Crime,https://www.imdb.com/title/tt2140479/?ref_=chtmvm_i_16
The Accountant,2016,2h 8m,R,7.3,Drama,https://www.imdb.com/title/tt2140479/?ref_=chtmvm_i_16
The Accountant,2016,2h 8m,R,7.3,Thriller,https://www.imdb.com/title/tt2140479/?ref_=chtmvm_i_16
I Know What You Did Last Summer,2025,,,,Slasher Horror,https://www.imdb.com/title/tt4045450/?ref_=chtmvm_i_17
I Know What You Did Last Summer,2025,,,,Horror,https://www.imdb.com/title/tt4045450/?ref_=chtmvm_i_17
Mickey 17,2025,2h 17m,R,6.8,Alien Invasion,https://www.imdb.com/title/tt12299608/?ref_=chtmvm_i_18
Mickey 17,2025,2h 17m,R,6.8,Dark Comedy,https://www.imdb.com/title/tt12299608/?ref_=chtmvm_i_18
Mickey 17,2025,2h 17m,R,6.8,Space Sci-Fi,https://www.imdb.com/title/tt12299608/?ref_=chtmvm_i_18
Mickey 17,2025,2h 17m,R,6.8,Adventure,https://www.imdb.com/title/tt12299608/?ref_=chtmvm_i_18
Mickey 17,2025,2h 17m,R,6.8,Comedy,https://www.imdb.com/title/tt12299608/?ref_=chtmvm_i_18
Mickey 17,2025,2h 17m,R,6.8,Fantasy,https://www.imdb.com/title/tt12299608/?ref_=chtmvm_i_18
Mickey 17,2025,2h 17m,R,6.8,Sci-Fi,https://www.imdb.com/title/tt12299608/?ref_=chtmvm_i_18
A Working Man,2025,1h 56m,R,5.8,Conspiracy Thriller,https://www.imdb.com/title/tt9150192/?ref_=chtmvm_i_19
A Working Man,2025,1h 56m,R,5.8,One-Person Army Action,https://www.imdb.com/title/tt9150192/?ref_=chtmvm_i_19
A Working Man,2025,1h 56m,R,5.8,Action,https://www.imdb.com/title/tt9150192/?ref_=chtmvm_i_19
A Working Man,2025,1h 56m,R,5.8,Thriller,https://www.imdb.com/title/tt9150192/?ref_=chtmvm_i_19
Locked,2025,1h 35m,R,5.8,Psychological Thriller,https://www.imdb.com/title/tt26671996/?ref_=chtmvm_i_20
Locked,2025,1h 35m,R,5.8,Thriller,https://www.imdb.com/title/tt26671996/?ref_=chtmvm_i_20
Drop,2025,1h 35m,PG-13,6.3,Whodunnit,https://www.imdb.com/title/tt32149847/?ref_=chtmvm_i_21
Drop,2025,1h 35m,PG-13,6.3,Drama,https://www.imdb.com/title/tt32149847/?ref_=chtmvm_i_21
Drop,2025,1h 35m,PG-13,6.3,Mystery,https://www.imdb.com/title/tt32149847/?ref_=chtmvm_i_21
Drop,2025,1h 35m,PG-13,6.3,Thriller,https://www.imdb.com/title/tt32149847/?ref_=chtmvm_i_21
Babygirl,2024,1h 54m,R,5.9,Erotic Thriller,https://www.imdb.com/title/tt30057084/?ref_=chtmvm_i_22
Babygirl,2024,1h 54m,R,5.9,Workplace Drama,https://www.imdb.com/title/tt30057084/?ref_=chtmvm_i_22
Babygirl,2024,1h 54m,R,5.9,Drama,https://www.imdb.com/title/tt30057084/?ref_=chtmvm_i_22
Babygirl,2024,1h 54m,R,5.9,Romance,https://www.imdb.com/title/tt30057084/?ref_=chtmvm_i_22
Babygirl,2024,1h 54m,R,5.9,Thriller,https://www.imdb.com/title/tt30057084/?ref_=chtmvm_i_22
Anora,2024,2h 19m,R,7.5,Dark Comedy,https://www.imdb.com/title/tt28607951/?ref_=chtmvm_i_23
Anora,2024,2h 19m,R,7.5,Raunchy Comedy,https://www.imdb.com/title/tt28607951/?ref_=chtmvm_i_23
Anora,2024,2h 19m,R,7.5,Steamy Romance,https://www.imdb.com/title/tt28607951/?ref_=chtmvm_i_23
Anora,2024,2h 19m,R,7.5,Comedy,https://www.imdb.com/title/tt28607951/?ref_=chtmvm_i_23
Anora,2024,2h 19m,R,7.5,Drama,https://www.imdb.com/title/tt28607951/?ref_=chtmvm_i_23
Anora,2024,2h 19m,R,7.5,Romance,https://www.imdb.com/title/tt28607951/?ref_=chtmvm_i_23
G20,2025,1h 48m,R,5.1,Action,https://www.imdb.com/title/tt23476986/?ref_=chtmvm_i_24
G20,2025,1h 48m,R,5.1,Thriller,https://www.imdb.com/title/tt23476986/?ref_=chtmvm_i_24
Black Bag,2025,1h 33m,R,6.8,Spy,https://www.imdb.com/title/tt30988739/?ref_=chtmvm_i_25
Black Bag,2025,1h 33m,R,6.8,Drama,https://www.imdb.com/title/tt30988739/?ref_=chtmvm_i_25
Black Bag,2025,1h 33m,R,6.8,Mystery,https://www.imdb.com/title/tt30988739/?ref_=chtmvm_i_25
Black Bag,2025,1h 33m,R,6.8,Romance,https://www.imdb.com/title/tt30988739/?ref_=chtmvm_i_25
Black Bag,2025,1h 33m,R,6.8,Thriller,https://www.imdb.com/title/tt30988739/?ref_=chtmvm_i_25
The King of Kings,2025,1h 43m,PG,7.4,Computer Animation,https://www.imdb.com/title/tt7967302/?ref_=chtmvm_i_26
The King of Kings,2025,1h 43m,PG,7.4,Animation,https://www.imdb.com/title/tt7967302/?ref_=chtmvm_i_26
The King of Kings,2025,1h 43m,PG,7.4,Family,https://www.imdb.com/title/tt7967302/?ref_=chtmvm_i_26
28 Years Later,2025,2h 6m,,,Zombie Horror,https://www.imdb.com/title/tt10548174/?ref_=chtmvm_i_27
28 Years Later,2025,2h 6m,,,Horror,https://www.imdb.com/title/tt10548174/?ref_=chtmvm_i_27
28 Years Later,2025,2h 6m,,,Thriller,https://www.imdb.com/title/tt10548174/?ref_=chtmvm_i_27
Captain America: Brave New World,2025,1h 58m,PG-13,5.8,Action Epic,https://www.imdb.com/title/tt14513804/?ref_=chtmvm_i_28
Captain America: Brave New World,2025,1h 58m,PG-13,5.8,Adventure Epic,https://www.imdb.com/title/tt14513804/?ref_=chtmvm_i_28
Captain America: Brave New World,2025,1h 58m,PG-13,5.8,Sci-Fi Epic,https://www.imdb.com/title/tt14513804/?ref_=chtmvm_i_28
Captain America: Brave New World,2025,1h 58m,PG-13,5.8,Superhero,https://www.imdb.com/title/tt14513804/?ref_=chtmvm_i_28
Captain America: Brave New World,2025,1h 58m,PG-13,5.8,Action,https://www.imdb.com/title/tt14513804/?ref_=chtmvm_i_28
